pomid,artist,scientific name,common name,geographic origin,physical description,specimen,year,notes on original,date created,variety,nal note,cultivar
POM00007446,,Prunus cerasifera var. divaricata,cherry plum,Caucasus,1 art original : col. ; 17 x 25 cm. ,18415; 18263a; 18469; 18471; 18612; 18816,,Wild Cherry Plums of the Caucasus; Prunus divaricata,,,,plum and prune
POM00007449,,Prunus cerasifera var. divaricata,cherry plum,Caucasus,1 art original : col. ; 17 x 25 cm. ,18159; 18257; 18699; 18721; 18738,,Wild Cherry Plums of the Caucasus; Prunus divaricata,,,,plum and prune
POM00007451,,Prunus cerasifera var. divaricata,cherry plum,Caucasus,1 art original : col. ; 17 x 25 cm. ,17891; 11225; 17867; 18138; 18699a,,Wild Cherry Plums of the Caucasus; Prunus divaricata,,,,plum and prune
POM00007453,,Prunus cerasifera var. divaricata,cherry plum,Caucasus,1 art original : col. ; 17 x 25 cm. ,17974; 18296; 11761; 18005; 18757,,Wild Cherry Plums of the Caucasus; Prunus divaricata,,,,plum and prune
POM00007461,,Prunus cerasifera var. divaricata,cherry plum,Caucasus,1 art original : col. ; 17 x 25 cm. ,18807; 18290; 18841; 18878; 18739,,Wild Cherry Plums of the Caucasus; Prunus divaricata,,,,plum and prune
POM00007498,,Prunus cerasifera var. divaricata,cherry plum,Caucasus,1 art original : col. ; 17 x 25 cm. ,[00311],,Wild Cherry Plums of the Caucasus; Prunus divaricata,,,Assigned specimen number,plum and prune
POM00007542,"Shull, James Marion, 1872-1948",Prunus domestica,plums,,1 art original : col. ; 16 x 24 cm. ,1051,,"10""",,,,plum and prune
POM00004823,"Arnold, Mary Daisy, ca. 1873-1955",Prunus domestica,plums,"Palo Alto, Santa Clara County, California, United States",1 art original : col. ; 17 x 25 cm. ,12240,1935.0,Moorpark x Blenheim,1935,,,plum and prune
POM00004828,"Passmore, Deborah Griscom, 1840-1911",Prunus domestica,plums,"Geneva, Allen County, Kansas, United States",1 art original : col. ; 17 x 25 cm. ,16069; 16071; 16098; 16070,1898.0,,1898,,"Watercolor includes: 16068; 16069 Marais des Cygnes, S.M. Irwin, Geneva, KS; 16070, S.M. Irwin; 16071 plum for identification, E.A. Bayliff , Uniapolis, OH; 16098 Jas. E. Free Demorest, GA",plum and prune
POM00004876,"Steadman, Royal Charles, b. 1875",Prunus domestica,plums,"Clemson, Oconee County, South Carolina, United States",1 art original : col. ; 17 x 25 cm. ,95495,1918.0,Agri. Exp. Station,1918-07-02,,,plum and prune
POM00004912,"Passmore, Deborah Griscom, 1840-1911",Prunus domestica,plums,"Waycross, Ware County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,5078,1893.0,,1893,,Variety name possibly Hoyo Imomo,plum and prune
POM00004934,"Newton, Amanda Almira, ca. 1860-1943",Prunus domestica,plums,,1 art original : col. ; 17 x 25 cm. ,"[00097], [00098]",,"Yearbook; U.S. Department of Agriculture, 1911",,,Watercolor includes these varieties:   Laire; Moncelt; Assigned specimen number,plum and prune
POM00004957,"Thompson, Harriet L.",Prunus domestica,plums,"Elk Grove, Sacramento County, California, United States",1 art original : col. ; 17 x 25 cm. ,81878,1915.0,,1915-06-25,,,plum and prune
POM00004958,"Shull, James Marion, 1872-1948",Prunus domestica,plums,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 18 x 24 cm. ,1815,1939.0,S.P.I. 31650; Prunus Salicina x Cerasifera Nupoblan?,1939,,,plum and prune
POM00004960,"Arnold, Mary Daisy, ca. 1873-1955",Prunus domestica,plums,"Palo Alto, Santa Clara County, California, United States",1 art original : col. ; 17 x 25 cm. ,112639,1933.0,Methley x Wickson; Negative Number 59744; Through Dr. Cullman,1933,,,plum and prune
POM00004992,"Shull, James Marion, 1872-1948",Prunus domestica,plums,"Mount Rainier, Prince Georges County, Maryland, United States",1 art original : col. ; 16 x 24 cm. ,366,1910.0,Injured or diseased portions are firm instead of soft as in brown rot. These were sprayed with lime sulfur and lead arsenate,1910,,,plum and prune
POM00004993,"Shull, James Marion, 1872-1948",Prunus domestica,plums,,1 art original : col. ; 17 x 24 cm. ,1490,1927.0,,1927,,,plum and prune
POM00005101,"Shull, James Marion, 1872-1948",Prunus domestica,plums,"Washington, D.C., United States",1 art original : col. ; 17 x 24 cm. ,689,1913.0,Caused by pressure of band mite,1913,,,plum and prune
POM00005102,"Shull, James Marion, 1872-1948",Prunus domestica,plums,"Bentoville, Benton County, Arkansas, United States",1 art original : col. ; 18 x 24 cm. ,1169,1919.0,,1919,,,plum and prune
POM00004723,"Passmore, Deborah Griscom, 1840-1911",Prunus domestica,plums,"Fayetteville, Cumberland County, North Carolina, United States",1 art original : col. ; 13 x 17 cm. ,9068,,,,Abundance,Alternative variety name(s): Botan,plum and prune
POM00002221,"Heiges, Bertha",Malus domestica,apples,"Denison, Grayson County, Texas, United States",1 art original : col. ; 16 x 25 cm. ,29316,1903.0,,1903-10-08,Givens,,apple
POM00002222,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Bentonville, Benton County, Arkansas, United States",1 art original : col. ; 16 x 25 cm. ,66882,1913.0,,1913-11-07,Givens,,apple
POM00002223,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Bentonville, Benton County, Arkansas, United States",1 art original : col. ; 17 x 26 cm. ,66882a,1913.0,duplicate 11/28/1913,1913-11-07,Givens,,apple
POM00002224,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Camden, Kent County, Delaware, United States",1 art original : col. ; 17 x 25 cm. ,60337,1912.0,,1912-11-13,Givens,Alternative variety name(s):  Givins,apple
POM00002225,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Bentonville, Benton County, Arkansas, United States",1 art original : col. ; 17 x 25 cm. ,66882b,1913.0,,1913-11-14,Givins,,apple
POM00002069,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,7231921,1921.0,,1921,Gladstone,,apple
POM00002427,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,101576,1922.0,,1922-07-25,Gladstone,,apple
POM00002428,"Prestele, William Henry, 1838-1895",Malus domestica,apples,"Flag Pond Landing, Accomack County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,5962,1893.0,,1893,Glasses Favorite Sweet,Changed Flag Pond to Flag Pond Landing and Scott County to Accomack; Alternative variety name(s):  Glass,apple
POM00002429,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Coleman Falls, Bedford County, Virginia, United States",1 art original : col. ; 16 x 25 cm. ,14381,1897.0,seedling,1897,Glen Alpine,,apple
POM00002430,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 16 x 25 cm. ,67649,1914.0,,1914-01-19,Glendale,,apple
POM00002431,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 17 x 26 cm. ,55011,1912.0,,1912-01-13,Glenlock,,apple
POM00002437,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 16 x 25 cm. ,85994,1915.0,,1915,Gloege,,apple
POM00002468,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"South Haven, Van Buren County, Michigan, United States",1 art original : col. ; 17 x 25 cm. ,16948,1898.0,,1898,Gloege,,apple
POM00002068,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Malus domestica,apples,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,1939,1939.0,,1939,Glogierowkai,,apple
POM00002469,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Charlottesville, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,58012,1912.0,,1912-09-14,Gloria Mundi,Charlottesville is an independent city located adjacent to Albemarle County,apple
POM00002470,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Charlottesville, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,58012a,1912.0,,1912-09-14,Gloria Mundi,Charlottesville is an independent city located adjacent to Albemarle County,apple
POM00002471,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Midway, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,57460,1912.0,,1912-08-16,Gloria Mundi,,apple
POM00002472,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Midway, Tennessee, United States",1 art original : col. ; 17 x 25 cm. ,57460a,1912.0,,1912-08-17,Gloria Mundi,,apple
POM00002473,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Fairfax Court House, Fairfax, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,39566,1908.0,,1908-02-01,Gloucester White,,apple
POM00000027,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Corvallis, Benton County, Oregon, United States",1 art reproduction ; 14 x 19 cm. ,95092,1918.0,,1918-01-29,Glowing Coal,,apple
POM00002310,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Bentonville, Benton County, Arkansas, United States",1 art original : col. ; 16 x 25 cm. ,85951,1915.0,,1915,Florence,,apple
POM00002312,"Heiges, Bertha",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 16 x 25 cm. ,23811,1902.0,,1902-02-13,Floyd,Alternative variety name(s):  Floyd Keeper,apple
POM00002313,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Huffville, Floyd County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,20262,1900.0,,1900,Floyd,Alternative variety name(s):  Floyd Seedling,apple
POM00002314,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Manhattan, Riley County, Kansas, United States",1 art original : col. ; 17 x 26 cm. ,61898,1913.0,,1913-01-21,Flushing Spitzenburg,Alternative variety name(s):  Flushing Spitzenburgh,apple
POM00002315,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Queens, New York, New York, United States",1 art original : col. ; 16 x 25 cm. ,19049,1899.0,,1899,Flushing Spitzenburg,Alternative variety name(s):  Flushing Spitzenburgh,apple
POM00002316,"Heiges, Bertha",Malus domestica,apples,"Bristol, Hartford County, Connecticut, United States",1 art original : col. ; 17 x 25 cm. ,19029,1900.0,,1900-01-03,Flyer,,apple
POM00002317,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Bedford, Middlesex County, Massachusetts, United States",1 art original : col. ; 17 x 26 cm. ,16193,1898.0,,1898,Fontinelle,,apple
POM00002318,"Heiges, Bertha",Malus domestica,apples,"Sergeantsville, Hunterdon County, New Jersey, United States",1 art original : col. ; 17 x 23 cm. ,13375,1897.0,,1897-02-23,Foote,,apple
POM00002319,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 26 cm. ,108306,1927.0,"Section G[?], Row 19-20, Tree 4; Picked 10/04/1926",1927-01-08,Foote,,apple
POM00002320,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Farmingdale, Sangamon County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,19698,1900.0,,1900,Forden,,apple
POM00002321,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Ottawa, Ontario, Canada",1 art original : col. ; 17 x 26 cm. ,111192,1929.0,,1929-10-11,Forerunner,,apple
POM00002322,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Williamsburg, Iowa County, Iowa, United States",1 art original : col. ; 17 x 25 cm. ,112522,1922.0,,1922,Forest King Crab,,apple
POM00002153,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Augusta, Richmond County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,46248a,1910.0,,1910-05-02,Forts Prize,,apple
POM00002323,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Augusta, Richmond County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,46248,1910.0,,1910-02-04,Forts Prize,,apple
POM00002154,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Athens, Clarke County, Georgia, United States",1 art original : col. ; 17 x 25 cm. ,43315,1909.0,,1909-02-20,Forts Surprise,,apple
POM00002155,"Strange, M.",Malus domestica,apples,"Oregon City, Clackamas County, Oregon, United States",1 art original : col. ; 16 x 25 cm. ,73244,1914.0,,1914-09-08,Foundling,,apple
POM00002156,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106483,1925.0,"Accession Number 1841; Section A, Row 17-18, Tree 3",1925-07-25,Fourth of July,,apple
POM00002608,"Heiges, Bertha",Malus domestica,apples,"Camden, Kent County, Delaware, United States",1 art original : col. ; 16 x 25 cm. ,28867a,1903.0,,1903-07-28,Fourth of July,Alternative variety name(s):  July,apple
POM00002157,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Beltsville, Prince Georges County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,102417,1939.0,,1939,Francesca,,apple
POM00002158,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Mount Carroll, Carroll County, Illinois, United States",1 art original : col. ; 17 x 25 cm. ,7720,1894.0,Frank Christians seedling,1894-10-04,Frank Christian,Alternative variety name(s):  Frankiana,apple
POM00006028,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Fresno, Fresno County, California, United States",1 art original : col. ; 18 x 26 cm. ,51186,1911.0,Fred C. Husmann; To be repainted,1911-08-12,Muscat St. Laurient,,grape
POM00006282,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Fresno, Fresno County, California, United States",1 art original : col. ; 17 x 26 cm. ,51186a,1911.0,Fred C. Husmann,1911,Muscat St. Laurient,,grape
POM00006024,"Schutt, Ellen Isham, 1873-1955",Vitis,grapes,"Fresno, Fresno County, California, United States",1 art original : col. ; 17 x 25 cm. ,5184,1911.0,"Fred L. Husmann, Fresno Exp. Vineyards",1911-08-15,Muscat de Frontignan,,grape
POM00006026,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Napa, Napa County, California, United States",1 art original : col. ; 18 x 26 cm. ,[00209],1914.0,,1914-03-29,Muscat of Alexandria,Assigned specimen number,grape
POM00006027,"Heiges, Bertha",Vitis,grapes,"Niles, Fremont, Alameda County, California, United States",1 art original : col. ; 13 x 16 cm. ,14708,1897.0,John Rock,1897-10-16,Muscat of Alexandria,,grape
POM00006283,,Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00210],,Negative Number 5895-A,,Nectar,Assigned specimen number,grape
POM00006284,,Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00211],,"Negative Number 5919-A; Painting OK but var?, written by H.P.G.",,Niagara,Assigned specimen number,grape
POM00006285,,Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00212],,Negative Number 5927-A,,Niagara,Assigned specimen number,grape
POM00006286,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Vineland, Cumberland County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,58201,1912.0,Vineland Exp. Vineyard,1912-09-09,Niagara,,grape
POM00006287,,Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00213],,,,Nitodal,Assigned specimen number,grape
POM00006288,"Heiges, Bertha",Vitis,grapes,"New Philadelphia, Tuscarawas County, Ohio, United States",1 art original : col. ; 17 x 25 cm. ,26720,1902.0,"G.L. Tinker, M.D.",1902-10-16,No. 1,,grape
POM00006289,"Passmore, Deborah Griscom, 1840-1911",Vitis,grapes,"Ocean Springs, Jackson County, Mississippi, United States",1 art original : col. ; 17 x 25 cm. ,36252,1906.0,,1906,No. 12,,grape
POM00006290,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Ocean Springs, Jackson County, Mississippi, United States",1 art original : col. ; 17 x 25 cm. ,36253,1906.0,,1906-07-30,No. 16,,grape
POM00006291,"Lower, Elsie E., b. 1882",Vitis,grapes,"Altus, Franklin County, Arkansas, United States",1 art original : col. ; 17 x 25 cm. ,36447,1906.0,Joseph Bachman,1906-08-27,No. 20,,grape
POM00006292,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Altus, Franklin County, Arkansas, United States",1 art original : col. ; 17 x 25 cm. ,34495,1905.0,Joseph Bachman,1905-08-26,No. 47,,grape
POM00006293,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,"Altus, Franklin County, Arkansas, United States",1 art original : col. ; 17 x 25 cm. ,36448,1906.0,Joseph Bachman,1906-08-22,No. 91,,grape
POM00006294,"Krieger, L.C.C. (Louis Charles Christopher), 1873-1940",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00214],,Negative Number 6173-A,,Noah,Assigned specimen number,grape
POM00006295,"Steadman, Royal Charles, b. 1875",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00215],,,,Norfolk,Assigned specimen number,grape
POM00006296,"Newton, Amanda Almira, ca. 1860-1943",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00216],1933.0,Negative Number #5875-a,1933,Ontario,Assigned specimen number,grape
POM00006570,"Arnold, Mary Daisy, ca. 1873-1955",Vitis,grapes,,1 art original : col. ; 22 x 27 cm. ,[00244],1933.0,Negative Number 5875a,1933,Ontario,Assigned specimen number,grape
POM00002850,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Wenatchee, Chelan County, Washington, United States",1 art original : col. ; 17 x 25 cm. ,111805,1931.0,,1931-01,McIntosh,,apple
POM00002851,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"LaCrescent, Houston County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,100431,1921.0,,1921-11-08,McIntosh,,apple
POM00002852,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,113193,1936.0,Original type; Negative Number15,1936-05,McIntosh,,apple
POM00002651,"Heiges, Bertha",Malus domestica,apples,"Sergeantsville, Hunterdon County, New Jersey, United States",1 art original : col. ; 17 x 24 cm. ,13377,1897.0,,1897-02-06,McLees Mammoth,Alternative variety name(s):  McLee,apple
POM00002861,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,106543,1925.0,"Section E, Row 5-6, Tree 2",1925-08-06,McMahon,,apple
POM00002862,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Montrose, Montrose County, Colorado, United States",1 art original : col. ; 17 x 25 cm. ,37465,1906.0,,1906-12-03,McMahon,Alternative variety name(s):  McMahon White,apple
POM00002863,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Merriam Park, Saint Paul, Ramsey County, Minnesota, United States",1 art original : col. ; 17 x 25 cm. ,40110,1908.0,,1908-01-22,McMahon,,apple
POM00002864,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110262,1928.0,"Section [G], Row 8, Tree 5",1928-08-29,McMahon,,apple
POM00002345,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Knoxville, Knox County, Tennessee, United States",1 art original : col. ; 16 x 24 cm. ,10881,1895.0,Syn. 306 McKinley Green,1895,McMillin,,apple
POM00000293,"Heiges, Bertha",Malus domestica,apples,"Stonewall, Louisiana, United States",1 art original : col. ; 17 x 25 cm. ,34469,1905.0,,1905-08-22,McMullen,De Soto parish,apple
POM00002747,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Stonewall, Louisiana, United States",1 art original : col. ; 17 x 25 cm. ,32320,1904.0,,1904-09-30,McMullen,De Soto parish,apple
POM00002748,"Heiges, Bertha",Malus domestica,apples,"Denton, Caroline County, Maryland, United States",1 art original : col. ; 17 x 25 cm. ,20565,1900.0,,1900-11-03,McNash,,apple
POM00002865,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,112790,1934.0,,1934,McNeolian,,apple
POM00002749,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Ottawa, Ontario, Canada",1 art original : col. ; 17 x 25 cm. ,111201,1929.0,,1929-10-24,McSweet,,apple
POM00002866,"Heiges, Bertha",Malus domestica,apples,"Titusville, Mercer County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,18662,1900.0,,1900-01-06,Meads Keeper,Alternative variety name(s):  Mead,apple
POM00003559,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,113707,1939.0,,1939-01,Medina,Alternative variety name(s):  Webster,apple
POM00002867,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 24 cm. ,1675,1936.0,,1936-03-30,Medina,,apple
POM00002869,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Kerby, Josephine County, Oregon, United States",1 art original : col. ; 17 x 25 cm. ,11876,1896.0,Quality not good enough,1896-05-09,Meissner Winter,Alternative variety name(s):  Meissner,apple
POM00002870,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"New Brunswick, Middlesex County, New Jersey, United States",1 art original : col. ; 17 x 26 cm. ,105902,1924.0,,1924-11-06,Melba,,apple
POM00002871,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 24 cm. ,1656,1935.0,,1935,Melba,,apple
POM00001406,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Waterford, Oxford County, Maine, United States",1 art original : col. ; 17 x 25 cm. ,105950,1925.0,,1925-01-12,Blue Pearmain,,apple
POM00001653,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Fredericton, New Brunswick, Canada",1 art original : col. ; 16 x 25 cm. ,92032,1916.0,,1916,Blue Pearmain,,apple
POM00001654,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,60306,1912.0,Bought from a push cart,1912-10-26,Blue Pearmain,,apple
POM00001409,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Ithaca, Richland County, Wisconsin, United States",1 art original : col. ; 17 x 25 cm. ,32144,1904.0,,1904,Blue Russian,,apple
POM00001410,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Saint Catharines, Ontario, Canada",1 art original : col. ; 16 x 25 cm. ,22555,1901.0,,1901,Blunt,,apple
POM00001411,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Cherrydale, Arlington County, Virginia, United States",1 art original : col. ; 16 x 24 cm. ,23624,1901.0,,1901,Blush Pippin,"Cherrydale is a neighborhood in Arlington County, Virginia",apple
POM00001517,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Geneva, Ontario County, New York, United States",1 art original : col. ; 17 x 25 cm. ,49719,1911.0,,1911-02-02,Blushing Bride,,apple
POM00000020,"Van Deman, Henry G.",Malus domestica,apples,"West Farmington, Franklin County, Maine, United States",1 art reproduction ; 11 x 19 cm. ,[00008],1886.0,,1886,Boardman,Named in honor of the  secretary of the Maine Pomological Society; Assigned specimen number,apple
POM00001422,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Amesville, Athens County, Ohio, United States",1 art original : col. ; 16 x 25 cm. ,62643,1913.0,,1913-03-14,Bob Greening,Alternative variety name(s):  Bottle Greening,apple
POM00002597,"Schutt, Ellen Isham, 1873-1955",Malus domestica,apples,"Yankee Hill, Butte County, California, United States",1 art original : col. ; 17 x 25 cm. ,46420,1910.0,,1910-03-19,Bohannon Red,Alternative variety name(s):  Lawver,apple
POM00001519,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Missoula, Missoula County, Montana, United States",1 art original : col. ; 16 x 25 cm. ,39504,1908.0,,1908-02-18,Bohill Pippin,,apple
POM00001520,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Athens, Bradford County, Pennsylvania, United States",1 art original : col. ; 17 x 25 cm. ,87830,1916.0,,1916,Boiken,,apple
POM00001521,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Carlton Station, Orleans County, New York, United States",1 art original : col. ; 17 x 25 cm. ,35280,1905.0,,1905-12-05,Boiken,,apple
POM00001522,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Jersey City, Hudson County, New Jersey, United States",1 art original : col. ; 17 x 25 cm. ,33869,1905.0,,1905-04-22,Boiken,,apple
POM00001523,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,104147,1922.0,,1922-11-11,Boiken,,apple
POM00001425,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,,1 art original : col. ; 17 x 25 cm. ,110512,1928.0,,1928,Bonne Hoture,,apple
POM00001524,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Washington, D.C., United States",1 art original : col. ; 17 x 25 cm. ,35046,1905.0,,1905-10-10,Bonum,,apple
POM00001525,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Saint Thomas, Franklin County, Pennsylvania, United States",1 art original : col. ; 16 x 25 cm. ,67531,1913.0,,1913-11,Bonum,,apple
POM00001528,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Sinks Grove, Monroe County, West Virginia, United States",1 art original : col. ; 16 x 24 cm. ,11715,,,,Bonum,,apple
POM00001530,"Passmore, Deborah Griscom, 1840-1911",Malus domestica,apples,"Missoula, Missoula County, Montana, United States",1 art original : col. ; 17 x 25 cm. ,37736,1907.0,,1907-02-12,Borlace Pippin Cornich,,apple
POM00003329,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,112350,1932.0,"Section J, Row 17, Tree 3",1932-01-30,Smith Cider,,apple
POM00003330,"Lower, Elsie E., b. 1882",Malus domestica,apples,"Manhattan, Riley County, Kansas, United States",1 art original : col. ; 16 x 25 cm. ,33104,1904.0,,1904,Smith Cider,,apple
POM00003331,"Newton, Amanda Almira, ca. 1860-1943",Malus domestica,apples,"Montrose, Montrose County, Colorado, United States",1 art original : col. ; 17 x 25 cm. ,46150,1910.0,,1910-03-02,Smith Cider,,apple
POM00003864,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 17 x 24 cm. ,423,,See also 422,,Smith Cider,,apple
POM00003865,"Shull, James Marion, 1872-1948",Malus domestica,apples,"Woodwardville, Anne Arundel County, Maryland, United States",1 art original : col. ; 17 x 24 cm. ,422,1910.0,"See also 423; Fruit Diseases, B.P.I., Washington, D.C.",1910,Smith Cider,,apple
POM00003333,"Arnold, Mary Daisy, ca. 1873-1955",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,110350,1928.0,"Section G, Row 12, Tree 1",1928,Smith Early Red,,apple
POM00003334,"Steadman, Royal Charles, b. 1875",Malus domestica,apples,"Rosslyn, Arlington County, Virginia, United States",1 art original : col. ; 17 x 25 cm. ,103682,1923.0,,1923-10-12,Smokehouse,,apple
